Station,Date,Longitude,Latitude,Type,Fraction,Volume_L,Lab_ID,aHCH,bHCH,gHCH,ppDDE,opDDD,ppDDD,opDDT,ppDDT,trans_Chlordane,cis_Chlordane,trans_Nonachlor,cis_Nonachlor,PeCB,HCB,PCB_18,PCB_28,PCB_31,PCB_33,PCB_47,PCB_52,PCB_66,PCB_74,PCB_99,PCB_101,PCB_105,PCB_118,PCB_138,PCB_149,PCB_153,PCB_180,PCB_187,Sum_PCB,Sum_PCB7,Sum_HCH,Sum_DDTs,Sum_Chlordanes,Sum_Chlorobenzenes,Sum_OC
Inner Fjord,2012-06,12.2961,78.8878,River,Dissolved,64,3114,0.7508,0.0731328125,0.412696875,0.0036828125,0.0019161181533945636,0.0019161181533945636,0.008725,0.006275,0.4669,1.1415,0.7106,0.5464,3.5187,8.6547,0.9333,0.5822,0.6065,0.5504,0.5408,0.6782,0.0019161181533945636,0.0019161181533945636,0.0019161181533945636,0.2749,0.0019161181533945636,0.0019161181533945636,0.0019161181533945636,0.0019161181533945636,0.0019161181533945636,0.0019161181533945636,0.0019161181533945636,4.185461181533943,1.541048354460184,1.2366296875,0.022515048806789128,2.8654,12.173400000000001,20.483405917840734
Inner Fjord,2012-06,12.2961,78.8878,River,Dissolved,80.8,3112,28.8657,3.5629,17.2482,1.2756,0.9484,1.2006,1.7159000000000002,1.9212,0.12356403501192108,0.6781398514851485,0.4127326732673267,0.20496287128712873,3.5427,8.5993,1.3124,0.7948,0.8857,0.6802,0.537,0.8481,0.2251,0.1439,0.1081,0.3256,0.0455,0.144,0.0764,0.12356403501192108,0.1787,0.12356403501192108,0.12356403501192108,6.6761921050357635,2.347164035011921,49.6768,7.0617,1.419399431051525,12.142,76.97609153608728
Bayelva,2012-06,11.86937,78.935,River,Dissolved,100,3102,19.9504,1.7262,8.1918,0.32539999999999997,0.1368,0.05404132765810937,0.45289999999999997,0.2578,0.614629,1.0053910000000001,1.074811,0.666911,2.53546,8.312865,0.577563,0.463239,0.438405,0.313963,0.437494,0.411796,0.17846299999999998,0.077702,0.075923,0.26323799999999997,0.026126,0.115873,0.124749,0.136479,0.178988,0.060294999999999994,0.048681,3.9289769999999997,1.5023049999999998,29.868399999999998,1.2269413276581091,3.3617420000000005,10.848325,49.23438532765812
Gasebu,2012-06,12.08249,78.9129,River,Dissolved,180,3116,15.6487,1.6562,6.2702,0.1612,0.11470000000000001,0.028692712005693462,0.028692712005693462,0.2458,0.3284533333333333,0.8241622222222222,0.6739383333333333,0.41772,2.2931,8.3236,0.2918,0.1989,0.17829999999999996,0.1595,0.21279999999999996,0.225,0.0626,0.0416,0.0436,0.1262,0.0141,0.0491,0.0453,0.0647,0.074,0.0241,0.028692712005693462,1.8402927120056936,0.6935,23.5751,0.579085424011387,2.244273888888889,10.616700000000002,38.855452024905965
Kongsvegen stream,2012-06,12.46307,78.8711,River,Dissolved,182,3100,26.392799999999998,6.6552,7.9147,0.2878,0.1443,0.2301,0.2371,0.20939999999999998,0.0806,0.24450000000000002,0.1221,0.046709292193874714,2.469,5.7765,0.5605,0.6267,0.6247,0.4388000000000001,0.6183,1.192,0.5378,0.3173,0.2923,0.7969000000000002,0.1523,0.37689999999999996,0.3008,0.3381,0.3098,0.046709292193874714,0.0433,7.573209292193875,3.272909292193875,40.9627,1.1087,0.49390929219387475,8.2455,58.384018584387746
Kvadehuken,2012-06,11.40646,78.96369,River,Dissolved,250,3108,7.705,0.8523,2.876,0.2563,0.1505,0.2847,0.2633,0.2577,0.3029,0.8348,0.6533,0.4201,1.6999,6.2741,0.1584,0.1053,0.101,0.0634,0.0599,0.1311,0.0421,0.0256,0.038299999999999994,0.1144,0.011,0.0562,0.0696,0.1241,0.1282,0.0241,0.04,1.2927000000000002,0.5727,11.4333,1.2125,2.2111,7.974,24.1236
Kvadehuken,2012-06,11.40646,78.96369,River,Dissolved,280,3106,11.4256,1.5937,5.0687,0.6143,0.3869,0.46869999999999995,0.7678,0.8853,0.6246,1.6394,1.1828,0.7544,3.4601,13.2534,0.3446,0.2557,0.2565,0.1711,0.1414,0.2961,0.0913,0.0595,0.0861,0.1871,0.0427,0.1132,0.1121,0.108,0.1497,0.0423,0.0283,2.4857000000000005,1.043,18.088,3.1229999999999998,4.2012,16.7135,44.6114
Kongsvegen stream,2012-06,12.46307,78.8711,River,Dissolved,344,3098,18.3543,4.4426,5.5436,0.0666477910913527,0.10179999999999999,0.138,0.1313,0.0666477910913527,0.0666477910913527,0.1593,0.0839,0.0291,1.6027,4.3509,0.3061,0.3148,0.3411,0.219,0.2981,0.537,0.2283,0.1415,0.1336,0.3086,0.0665,0.1628,0.1085,0.1049,0.1097,0.0349,0.0666477910913527,3.482047791091352,1.4135,28.3405,0.5043955821827053,0.33894779109135276,5.9536,38.619491164365414
Kvadehuken,2012-06,11.40646,78.96369,River,Dissolved,350,3110,8.3609000000000009,0.9399,3.2914,0.283,0.2106,0.24,0.3022,0.4247,0.4876,1.053,0.8832,0.5443,1.7639,7.426,0.1867,0.1465,0.1408,0.0972,0.1409,0.1742,0.0694,0.0394,0.0561,0.1268,0.028101918906904756,0.0655,0.0633,0.0672,0.09260000000000002,0.0235,0.0103,1.5285019189069047,0.6269,12.5922,1.4605000000000001,2.9680999999999997,9.1899,27.739201918906907
Bayelva,2012-06,11.86937,78.935,River,Particulate,100,3101,0,0,0,0,0,0,0,0,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,1.9682279999999996,7.285000999999999,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,0.2706152817230299,4.600459789291509,1.6236916903381793,0,0,1.0824611268921196,9.253229,14.936149916183627
Inner Fjord,2012-06,12.2961,78.8878,River,Particulate,64,3113,0,0.01167538182809949,0,3.253,1.3653,1.6735,0,0,1.348,2.9527,2.358,0,13.2626,70.072,1.0476,0.9812,0.9212,0.6422,0.518,1.002,0.3711,0.2391,0.4534,0.9623,0.3048,0.8224,0.988,0.01167538182809949,1.1828,0.6302,0.3441,11.4220753818281,5.7465,0.01167538182809949,6.291799999999999,6.6587,83.33460000000001,107.7188507636562
Gasebu,2012-06,12.08249,78.9129,River,Particulate,180,3115,0.002529605131596327,0,0.002529605131596327,0.3022,0.1224,0.10060000000000001,0,0,0.12997722222222222,0.002529605131596327,0.38717,0,0.6329,3.7056,0.0828,0.09330000000000001,0.0869,0.0588,0.0481,0.12169999999999999,0.0558,0.002529605131596327,0.031,0.096,0.0416,0.0452,0.1329,0.09,0.1492,0.09239999999999998,0.0446,1.2728296051315962,0.6855,0.005059210263192654,0.5252,0.5196768273538186,4.3385,6.661265642748608
Kongsvegen stream,2012-06,12.46307,78.8711,River,Particulate,182,3099,0,0.08724290426913649,0.08724290426913649,0.08724290426913649,0.0386,0.1071,0,0.08724290426913649,0.08724290426913649,0.08724290426913649,0.0586,0.08724290426913649,1.7357,0.4264,0.0651,0.0731,0.0781,0.0563,0.0693,0.171,0.0847,0.0552,0.0421,0.11899999999999998,0.023599999999999996,0.0635,0.0553,0.08724290426913649,0.08724290426913649,0.08724290426913649,0.08724290426913649,1.305271617076546,0.592885808538273,0.17448580853827297,0.320185808538273,0.3203287128074095,2.1621,4.2823719469605015
Kvadehuken,2012-06,11.40646,78.96369,River,Particulate,250,3107,0,0,0,0.4127,0.7346,1.0294,0,0,0.007236056224443019,0.007236056224443019,0.007236056224443019,0,0.1226,0.8205,0.007236056224443019,0.007236056224443019,0.007236056224443019,0.007236056224443019,0.007236056224443019,0.007236056224443019,0.007236056224443019,0.007236056224443019,0.0425,0.0946,0.007236056224443019,0.0859,0.1054,0.1488,0.0626,0.007236056224443019,0.007236056224443019,0.6193966184688732,0.28430816867332903,0,2.1767000000000003,0.02170816867332906,0.9431,3.760904787142202
Kvadehuken,2012-06,11.40646,78.96369,River,Particulate,280,3105,0,0,0,0.2361,0.002732087197713554,0.1766,0,0,0.0949,0.2037,0.3054,0,0.114,0.7177,0.033,0.0451,0.0337,0.0235,0.0424,0.0639,0.002732087197713554,0.002732087197713554,0.0294,0.0743,0.0336,0.0648,0.1015,0.058199999999999995,0.1277,0.0712,0.0424,0.8501641743954272,0.4837000000000001,0,0.4154320871977136,0.604,0.8317,2.701296261593141
Kongsvegen stream,2012-06,12.46307,78.8711,River,Particulate,344,3097,0,0.006559007154195569,0,0.029600000000000005,0.006559007154195569,0.0718,0.006559007154195569,0.006559007154195569,0.006559007154195569,0.006559007154195569,0.006559007154195569,0,0.055200000000000006,0.342,0.0331,0.034,0.0434,0.0281,0.0328,0.0786,0.0481,0.0235,0.0207,0.055400000000000005,0.0104,0.0328,0.0258,0.006559007154195569,0.006559007154195569,0.006559007154195569,0.006559007154195569,0.4929360286167822,0.20691801430839116,0.006559007154195569,0.1210770214625867,0.019677021462586708,0.39720000000000005,1.0374490786961512
Kvadehuken,2012-06,11.40646,78.96369,River,Particulate,350,3109,0,0,0,0,0,0,0,0,0.03886795271735173,0.03886795271735173,0.03886795271735173,0,0.03886795271735173,0.9119999999999999,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.1014,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.03886795271735173,0.7232872434776277,0.29573976358675863,0,0,0.11660385815205519,0.9508679527173517,1.7907590543470346
Inner Fjord,2012-06,12.2961,78.8878,River,Particulate,80.8,3111,0.004887682989286951,0.004887682989286951,0.004887682989286951,1.4277227722772277,0.3326732673267327,0.3629950495049505,0,0,0.5730185643564357,0.8689913366336635,0.6686559405940594,0,11.620606435643566,52.67759900990099,0.531930693069307,0.5371287128712872,0.5011757425742575,0.25773514851485146,0.2984529702970297,0.5774133663366336,0.3014851485148515,0.18886138613861386,0.33353960396039606,0.557920792079208,0.004887682989286951,0.5613861386138614,0.6064356435643565,0.4383663366336634,0.8654702970297031,0.29065594059405947,0.1676361386138614,7.020481742395228,3.435024752475248,0.014663048967860852,2.1233910891089107,2.1106658415841584,64.29820544554455,75.56740716760072
Gasebu,2012-06,12.08249,78.9129,Fjord,Dissolved,1,3084,5467.2588,1713.5987,1629.4028,46.4654,101.9488,96.4396,48.09,71.7256,9.710163765863982,9.710163765863982,9.710163765863982,9.710163765863982,523.585,1361.9405,147.9698,165.6972,202.2122,127.5483,221.9232,446.2338,177.0238,103.985,91.5494,233.8193,38.6992,102.9004,63.663,80.1156,71.0732,15.8166,9.6032,2299.8332,996.3031000000001,8810.2603,364.6694,38.84065506345593,1885.5255,13399.129055063455
Gasebu,2012-06,12.08249,78.9129,Fjord,Dissolved,1,3088,6212.5479,1666.798,1895.0944,28.4264,16.6293,25.4551,56.5701,30.1954,13.963657659022138,13.963657659022138,13.963657659022138,13.963657659022138,870.038,2117.4376,211.1025,191.7542,210.418,135.5176,133.3822,360.5548,132.0486,80.9555,61.7173,136.5888,21.9703,57.7734,36.1878,47.6666,41.3943,11.7723,6.3489,1877.1531,778.2522,9774.440299999998,157.2763,55.85463063608855,2987.4756,14852.199930636085
Kvadehuken,2012-06,11.40646,78.96369,Fjord,Dissolved,1,3094,7091.4265,2031.293,2034.1329,89.0653,30.2636,40.8683,181.7399,6.741770325594814,166.5002,209.6914,91.5761,25.4865,1211.9572,2405.4081,2062.4181,2319.8899,2722.134,1382.4968,973.7392,4306.861,692.769,506.2496,202.9723,628.1387,43.6231,132.0396,45.6995,81.8001,53.8996,9.353,7.2452,16171.3287,7363.8417,11156.8524,348.6788703255948,493.25419999999997,3617.3653000000004,31787.479470325594
Kvadehuken,2012-06,11.40646,78.96369,Fjord,Dissolved,1,3096,5749.2335,1456.9588,1779.3953,39.1853,58.4955,201.8241,9.456567624322606,9.456567624322606,16.4822,41.184,9.456567624322606,10.4286,733.1139,2211.0772,114.9429,118.4263,125.5607,84.7812,197.5306,208.3442,116.4208,53.7901,56.739,140.7475,19.9202,64.7802,35.703,51.5365,46.2984,9.456567624322606,9.456567624322606,1454.434735248645,558.9759676243226,8985.5876,318.4180352486452,77.55136762432261,2944.1911,13780.182838121615
Inner Fjord,2012-06,12.2961,78.8878,Fjord,Dissolved,200,3090,28.1026,7.241499999999999,7.8588,0.1752,0.0971,0.1193,0.3493,0.03549704462627415,0.09188230000000001,0.2641848,0.1244625,0.037086,2.9652,9.7764,0.5866,0.8177,0.9474000000000001,0.6366,0.8028,1.9813,0.8302,0.526,0.38,1.0962,0.1526,0.41589999999999994,0.2528,0.3447,0.2986,0.0646,0.0378,10.171800000000003,4.5112000000000005,43.2029,0.7763970446262741,0.5176156,12.7416,67.41031264462627
Inner Fjord,2012-06,12.2961,78.8878,Fjord,Dissolved,264,3092,18.7397,5.171,5.5243,0.2002,0.029542450624285264,0.1335,0.3499,0.1759,0.5012,0.5573,0.2498,0.0746,3.0497,5.1117,6.2052,6.5237,7.6536,3.9545000000000003,2.4191,11.627,1.7036,1.2597,0.5068,1.5354,0.1132,0.3307,0.1103,0.1853,0.1436,0.0279,0.0219,44.32150000000001,19.967899999999997,29.435,0.8890424506242853,1.3829,8.1614,84.18984245062428
Bayelva,2012-06,11.86937,78.935,Fjord,Dissolved,268,3080,27.9436,7.8934,8.7276,0.3272,0.2372,0.3482,0.2028,0.2467,0.1349,0.2612,0.1139,0.014342158117331565,2.6264,6.107,0.7028,1.2189,1.313,0.8971,1.029,2.803,1.1458,0.6881,0.5382,1.4568,0.2369,0.5961,0.3647,0.4891,0.4394,0.0952,0.0581,14.0722,6.378000000000001,44.564600000000006,1.3621,0.5243421581173315,8.7334,69.25664215811733
Gasebu,2012-06,12.08249,78.9129,Fjord,Dissolved,270,3082,30.0318,8.2872,8.5416,0.1978,0.0844,0.1214,0.208,0.1077,0.1099,0.28,0.1307,0.0411,2.9680792592592593,11.34382074074074,0.696528888888889,0.7390814814814815,0.8078503703703703,0.5485455555555556,0.5746522222222222,1.6021648148148149,0.6271948148148149,0.3623862962962963,0.4049637037037037,0.9877466666666667,0.18045925925925924,0.4575985185185185,0.30007962962962964,0.35537074074074076,0.3276148148148148,0.06112814814814815,0.04681814814814815,9.080184074074074,4.017815555555556,46.860600000000005,0.7193,0.5617000000000001,14.3119,71.53368407407409
Bayelva,2012-06,11.86937,78.935,Fjord,Dissolved,271,3078,25.3226,8.4629,7.781,0.266,0.1787,0.2673,0.3267,0.305,0.1327,0.348,0.1498,0.0433,2.2835,5.9145,1.683,3.298,3.7559,2.5213,2.0251,7.3343,2.0447,1.2891,0.7661,2.2248,0.2685,0.7397,0.3591,0.5391,0.424,0.0746,0.0531,29.400400000000005,13.7148,41.5665,1.3437,0.6738000000000001,8.198,81.1824
Gasebu,2012-06,12.08249,78.9129,Fjord,Dissolved,305,3086,25.9425,7.274899999999999,7.927300000000001,0.0984,0.0704,0.10920000000000002,0.2032,0.0917,0.029774693587794897,0.2328,0.029774693587794897,0.029774693587794897,2.2992,5.6961,0.5644,0.6283,0.6915,0.47139999999999993,0.4987,1.3685,0.5373,0.3036,0.2826,0.7629,0.1236,0.3191,0.1953,0.2267,0.21439999999999998,0.0443,0.0353,7.2679,3.2137,41.1447,0.5729,0.32212408076338467,7.9953,57.30292408076338
Bayelva,2012-06,11.86937,78.935,Fjord,Dissolved,407,3076,17.8969,5.9993,5.6992,0.3236,0.18509999999999996,0.1733,0.1632,0.2299,0.6388,0.6595,0.2932,0.0859,4.2187,4.6126,10.4231,8.8789,11.1787,5.855900000000001,3.0871,15.267,2.2167,1.6326,0.6188,1.7608,0.1246,0.4197,0.1257,0.24459999999999998,0.1762,0.023085250608855856,0.0218,62.055285250608854,26.23168525060885,29.5954,1.0751,1.6774,8.831299999999999,103.23448525060886
Bayelva,2012-06,11.86937,78.935,Fjord,Dissolved,442,3074,16.5595,5.313599999999999,7.942199999999999,0.222,0.1236,0.15100000000000002,0.040369368533603844,0.2359,0.7034886877828055,0.5150737556561086,0.27431764705882355,0.07343891402714932,6.7382,4.0686,13.435,9.371,11.6129,5.9387,2.9321,14.7386,2.2134,1.6258,0.623,1.8572,0.1465,0.41960000000000003,0.1339,0.2593,0.1862,0.0609,0.0388,65.59289999999999,26.3478,29.8153,0.7728693685336039,1.566319004524887,10.806799999999999,108.55418837305848
Gasebu,2012-06,12.08249,78.9129,Fjord,Particulate,1,3083,18.6896,19.2859,22.164,2.712886238468811,2.712886238468811,2.712886238468811,2.712886238468811,2.712886238468811,2.712886238468811,2.712886238468811,2.712886238468811,2.712886238468811,20.3837,112.8607,16.7347,27.0533,29.968,21.0149,26.6885,73.2455,36.6635,22.3883,24.2863,49.916,13.3162,24.9533,21.0563,21.6487,23.4904,10.7954,7.9859,451.2052000000001,205.55689999999998,60.1395,13.564431192344056,10.851544953875244,133.24439999999998,669.0050761462194
Gasebu,2012-06,12.08249,78.9129,Fjord,Particulate,1,3087,12.076429940965726,12.076429940965726,33.7665,12.076429940965726,12.076429940965726,12.076429940965726,12.076429940965726,12.076429940965726,12.076429940965726,12.076429940965726,12.076429940965726,12.076429940965726,81.4096,131.3763,12.076429940965726,21.6529,13.5308,16.3717,12.076429940965726,12.076429940965726,17.5076,7.2853,11.3886,27.9142,5.1799,10.9086,13.6158,12.076429940965726,8.6808,12.076429940965726,12.076429940965726,226.4947796457944,96.01655988193146,57.919359881931456,60.38214970482863,48.3057197638629,212.78589999999997,605.8879089964174
Kvadehuken,2012-06,11.40646,78.96369,Fjord,Particulate,1,3093,35.7115,14.5621,22.2358,27.9043,12.0588,26.8222,21.1781,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,5.7661,41.8895,363.4552,9.2646,11.5051,12.7421,6.4377,8.034185637512477,19.4158,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,8.034185637512477,155.77552765014974,63.05764255004992,72.5094,95.99758563751247,29.868656912537432,405.3447,759.4958702001996
Kvadehuken,2012-06,11.40646,78.96369,Fjord,Particulate,1,3095,60.8592,16.6272,131.0019,71.5367,15.4033,25.2464,4.88466776705347,4.88466776705347,12.1857,26.5503,31.1606,8.5278,22.1321,180.2907,20.6764,21.3739,20.7668,14.4535,22.7594,45.5298,26.6278,15.3781,16.2976,48.1523,6.1585,19.3645,21.9289,32.9698,32.944,5.0065,7.9839,378.37170000000003,174.9354,208.4883,121.95573553410694,78.4244,202.4228,989.6629355341071
Inner Fjord,2012-06,12.2961,78.8878,Fjord,Particulate,200,3089,0.5203,0.4267,0.436,0.2708,0.3207,0.3674,0.3398999999999999,0.38909999999999995,0.032991176621988416,0.032991176621988416,0.032991176621988416,0.032991176621988416,0.1195,0.6645,0.0412,0.0548,0.057,0.04650000000000001,0.0471,0.1427,0.0747,0.032991176621988416,0.0308,0.062,0.0196,0.0487,0.0458,0.032991176621988416,0.0639,0.0139,0.032991176621988416,0.847673529865965,0.38310000000000005,1.383,1.6878999999999997,0.13196470648795366,0.784,4.834538236353919
Inner Fjord,2012-06,12.2961,78.8878,Fjord,Particulate,264,3091,0.1185,0.0677,0.0506,0.026507832840434276,0.0502,0.026507832840434276,0.026507832840434276,0.026507832840434276,0.026507832840434276,0.026507832840434276,0.026507832840434276,0.019904,0.0804,0.4996999999999999,0.0326,0.0315,0.0309,0.0201,0.026507832840434276,0.0573,0.0357,0.026507832840434276,0.0119,0.0198,0.026507832840434276,0.0278,0.0319,0.0185,0.0405,0.026507832840434276,0.026507832840434276,0.49103916420217136,0.20750783284043428,0.23679999999999998,0.1562313313617371,0.09942749852130284,0.5801,1.5635979940852112
Bayelva,2012-06,11.86937,78.935,Fjord,Particulate,268,3079,0.2036,0.038169381405808965,0.038169381405808965,0.0671,0.038169381405808965,0.0768,0.1105,0.038169381405808965,0.038169381405808965,0.038169381405808965,0.0443,0.038169381405808965,0.038169381405808965,0.3967,0.0881,0.1682,0.1709,0.1215,0.1371,0.48030000000000006,0.2011,0.1298,0.0867,0.2888,0.023,0.1132,0.0821,0.038169381405808965,0.0695,0.038169381405808965,0.038169381405808965,2.2748081442174275,1.1270693814058093,0.27993876281161795,0.3307387628116179,0.1588081442174269,0.43486938140580894,3.479163195463899
Gasebu,2012-06,12.08249,78.9129,Fjord,Particulate,270,3081,0.2284,0.0514,0.0943,0.0898,0.04323787157877814,0.04323787157877814,0.04323787157877814,0.04323787157877814,0.04323787157877814,0.04323787157877814,0.04323787157877814,0.04323787157877814,0.16189962962962962,1.686907777777778,0.12384851851851852,0.12293333333333334,0.13102555555555556,0.09264888888888889,0.09235925925925927,0.25285037037037034,0.11517481481481481,0.04323787157877814,0.06680074074074074,0.15301592592592594,0.02971925925925926,0.07662407407407408,0.04799592592592593,0.03142814814814815,0.05946888888888889,0.04323787157877814,0.04323787157877814,1.5256073184400383,0.6795023160232225,0.3741,0.2627514863151126,0.17295148631511256,1.8488074074074075,4.184217698477671
Bayelva,2012-06,11.86937,78.935,Fjord,Particulate,271,3077,0.233,0.035026061974116604,0.1611,0.0937,0.0519,0.035026061974116604,0.035026061974116604,0.0523,0.035026061974116604,0.035026061974116604,0.035026061974116604,0.035026061974116604,0.035026061974116604,0.4893,0.0665,0.114,0.114,0.0728,0.0812,0.2704,0.1018,0.035026061974116604,0.0381,0.1237,0.035026061974116604,0.0505,0.0464,0.035026061974116604,0.035026061974116604,0.035026061974116604,0.035026061974116604,1.289556371844699,0.6245521239482332,0.4291260619741166,0.26795212394823326,0.14010424789646642,0.5243260619741166,2.651064867637632
Gasebu,2012-06,12.08249,78.9129,Fjord,Particulate,305,3085,0.18227273092081303,0.18227273092081303,0.18227273092081303,0.18227273092081303,0.10790000000000001,0.2068,0.18227273092081303,0.18227273092081303,0.18227273092081303,0.18227273092081303,0.18227273092081303,0.18227273092081303,0.0714,0.4923,0.0864,0.10690000000000001,0.11179999999999998,0.0769,0.1085,0.3277,0.1559,0.0881,0.0942,0.2034,0.0396,0.09,0.0699,0.0689,0.0898,0.18227273092081303,0.18227273092081303,2.0825454618416264,0.979972730920813,0.5468181927624391,0.8615181927624391,0.7290909236832521,0.5637,4.783672771049757
Bayelva,2012-06,11.86937,78.935,Fjord,Particulate,407,3075,0.1653,0.023144093573559073,0.023144093573559073,0.0791,0.023144093573559073,0.023144093573559073,0.023144093573559073,0.023144093573559073,0.023144093573559073,0.023144093573559073,0.023144093573559073,0.023144093573559073,0.9162,0.9628,0.0817,0.0938,0.0934,0.0766,0.023144093573559073,0.11319999999999998,0.023144093573559073,0.023144093573559073,0.023144093573559073,0.0733,0.023144093573559073,0.0269,0.04070000000000001,0.0371,0.0575,0.0369,0.023144093573559073,0.8699645614413545,0.4154,0.21158818714711813,0.17167637429423627,0.09257637429423629,1.879,3.2248054971769453
Bayelva,2012-06,11.86937,78.935,Fjord,Particulate,442,3073,0.1071,0.030699999999999998,0.06,0.0403,0.0854,0.010089260782347991,0.010089260782347991,0.010089260782347991,0.010089260782347991,0.010089260782347991,0.010089260782347991,0.010089260782347991,0.07550000000000001,0.4527,0.0263,0.0416,0.0407,0.0259,0.0259,0.0817,0.0855,0.0476,0.0221,0.0569,0.0102,0.0321,0.0338,0.0224,0.03960000000000001,0.010089260782347991,0.010089260782347991,0.6124785215646958,0.263689260782348,0.1978,0.15596778234704395,0.040357043129391965,0.5282,1.534803347041132
